Gene	C3L-00017	C3L-00102	C3L-00277	C3L-00395	C3L-00589	C3L-00599	C3L-00622	C3L-00625	C3L-00640	C3L-00819	C3L-00881	C3L-00928	C3L-01031	C3L-01036	C3L-01051	C3L-01052	C3L-01053	C3L-01054	C3L-01328	C3L-01453	C3L-01598	C3L-01637	C3L-01689	C3L-01703	C3L-01971	C3L-02112	C3L-02115	C3L-02116	C3L-02463	C3L-02606	C3L-02610	C3L-02613	C3N-00198	C3N-00249	C3N-00436	C3N-00512	C3N-00513	C3N-00514	C3N-00517	C3N-00518	C3N-00954	C3N-00957	C3N-01011	C3N-01997	C3N-01998
AARS	16.696247669950896	16.63150119053758	18.168515122083498	16.93815389437623	16.574141841082444	16.81742747085808	16.975395094237488	18.076383052610037	17.579768739210532	16.467247915971097	17.732285911589614	18.717600615011563	18.399699749821533	17.420030772139885	17.41417767837495	17.73674598923392	18.045525687594868	17.218740776929156	16.493808812026227	16.382379955797354	18.542216542246134	16.61044841487446	16.95585793777793	17.03711648678421	17.50201470312065	16.789646060365147	17.018403653222677	18.635820000009666	16.728789196084247	17.205479423363027	17.42392693071097	16.95743914878835	16.61406493366759	18.451106081699983	17.354765762330555	18.24559783501408	17.92239442603627	17.87603249574996	17.454462671440055	16.784907421916817	16.085224083688775	18.11579304565953	16.78036616680851	18.258653726722585	16.900721346911432
AARS2	15.605712820133308	14.6435767754223	15.186748420165475	13.35312241023656	15.573109667937445	16.204474585077666	15.103688776562077	15.249276782406602	13.734949930069686	15.141501899905576	14.965282420927528		15.73997949662709			15.412683999137013	15.833129754881709		14.225363031524953	14.475271962475723	15.189367149161036	14.919315657088598	15.277020987172516	14.099638741074886	15.791461365064443	15.10273342113025	15.064683309601607	15.41315401987993	14.944145573937023	14.785117818972662		15.139062314711246			15.551257295587588	15.776572054355189	14.770365736371382	15.388251090948664	15.098241084125101	15.162206937168074		15.986550769531204		15.239491440942025	
AARSD1	15.611500816779097	19.174634786106502	17.617832214807287	16.05631253529584	15.74068814728235	18.99327220827336	16.4048259250929	17.551331919253265	16.01267521424937	14.360074869260337	17.136641031928495	16.625919119931698	16.71890399341897	17.379822218048194	16.326597563038142	16.331625212563775	17.246896391223682	14.68275170516897	15.978254064823908	16.151854856261792	16.49336669572274	16.421097171602828	16.00798876551004	16.64911317696151	15.47366371630781	15.644164393602296	15.276442137199373	15.61622780145396		16.846543882224257	16.52016660929209	16.00719261677126	16.26024584453788	17.762300377905536	15.500484430754758	16.250639140917233	16.49449116065178	16.119369674215253	15.177360251885291	16.225553977516018	15.77803920907989	15.362912552320218	17.223776580051062	15.948797660315275	15.18946698787087
AASDHPPT	12.731208056207633			15.049121912037416	13.425829637150414			13.074270056426622	16.19028604755647											14.139443603159283			14.16419052690207			14.029038111602452			13.477432078392317			14.993201686332531					12.169410255492062			11.632468646360076					
AASS					14.06183176267739		14.930216203784417	15.372595370538157	16.01131931235028			15.946256168730086	15.67389443110644				15.398860197305595				15.322215400056237				16.162123384444023		15.32666400783465	16.011698237418884			15.523970794930191			16.05846896228246		15.901368807566968	15.359132080619242	15.219605722814348				16.21241906612024		16.1455428865445	
ABAT	17.59162197274619	16.10648955920752	19.697907018263297	14.347939526340301	18.44140098691668	18.25132687052294	19.146244533076267	19.596806680420773	15.948154869031434	16.091718123860566	20.951443116617636	21.13522541015694	21.329561320551733	20.915748262383175	19.21860635791722	19.05827693647602	19.784423358864068	20.890082065133832	15.97528913264876	13.391963891507796	20.02372759139868	17.48162460274589	17.088680019137033	15.944863277469507	18.95231040228918	16.725227078408654	18.34388124909079	20.406400973712667	17.430170463117783	18.00339074761058	18.672739638703945	17.155411616184924		20.651374189763928	17.29214078165585	19.917758402442455	20.361144788360047	19.576857614244457	18.295861569319488	16.048721327180324		20.5494842666463	16.241243561280264	20.971909100334305	15.216553918261527
ABCB6	13.841996446424261			17.120321878211193	13.864540480404369	12.289680372249132	12.600560718960626		15.756077333104892			11.381639504173098		9.995451523261469					12.121538337049888		12.558584796531829		13.641201814906523	13.23728093554055		14.845928563423849			14.061693556385986			14.085370984976613	14.127034138252274			11.85259597003137	14.775541807123368		13.37988875297911	13.765309900226459					15.030096418895555
ABCC1	14.623419015498056				13.498550284984882				14.733091281551351											15.518098664573037			14.261752297104048	13.997325885109099		12.817061371684266			13.471728987437967		12.196488341815845	16.234734961007284		15.759044131515981					13.284568126490873						
ABCC3				13.69894414011699	15.319564478181	14.674586806009131	14.652481967410685	14.629592782529222		13.163166532621615	14.924028404539097	15.08625291797901		14.009681424110521	14.593838370421965	14.945421163733828			14.47046490401418		15.025186020559904	14.941280925915212	13.464362170289036		14.73976646622008	14.12392959726479	14.401458761015896	14.14372495911459	15.495352257953735	14.7634844909082	15.055060277446591	15.074460131234508		13.70201927749571	15.960735416439322	14.995700340089373	15.069635166964805	15.318576223011792	15.034412324148125			14.755152813855554	14.794607624919616		13.043595853509213
ABCD1					15.710752332769099		16.549064375008935	16.54073899346575						14.5331776268642	15.269541759607229	14.305469191684063	14.54400823769064	14.614804664917129	15.260175090329488		14.340034613712554	14.965996723973435	15.264693269470547		15.39430445989109	15.472124108108513	15.933136601720252	15.734441449539945	16.476686330902684	15.515483729782297	14.812256267194144	16.01709684579365		15.33315073969232	14.987821729979244	16.36900618736815	14.545542252431995	15.011680179272375	16.168172042542786			14.80976951517303		15.477027065756536	10.699911618616579
